Présent: finir,"Je finis, Tu finis, Il/elle finit, Nous finissons, Vous finissez, Ils/elles finissent",Acabar; terminar; concluir; ...
Futur: finir,"Je finirai, Tu finiras, Il/elle finira, Nous finirons, Vous finirez, Ils/elles finiront",Acabar; terminar; concluir; ...
Passé composé (avec avoir): finir,"J'ai fini, Tu as fini, Il/elle a fini, Nous avons fini, Vous avez fini, Ils/elles ont fini",Acabar; terminar; concluir; ...
Passé composé (avec être): finir,"Je suis fini, Tu es fini, Il est fini, Elle est finie, Nous sommes finis, Vous êtes finis, Ils sont finis, Elles sont finies",Acabar; terminar; concluir; ...
Présent: faire,"Je fais, Tu fais, Il/elle fait, Nous faisons, Vous faites, Ils/elles font",Fazer; ser; dar; ...
Futur: faire,"Je ferai, Tu feras, Il/elle fera, Nous ferons, Vous ferez, Ils/elles feront",Fazer; ser; dar; ...
Passé composé (avec avoir): faire,"J'ai fait, Tu as fait, Il/elle a fait, Nous avons fait, Vous avez fait, Ils/elles ont fait",Fazer; ser; dar; ...
Présent: commencer,"Je commence, Tu commences, Il/elle commence, Nous commençons, Vous commencez, Ils/elles commencent",Começar; iniciar; principiar; ...
Futur: commencer,"Je commencerai, Tu commenceras, Il/elle commencera, Nous commencerons, Vous commencerez, Ils/elles commenceront",Começar; iniciar; principiar; ...
Passé composé (avec avoir): commencer,"J'ai commencé, Tu as commencé, Il/elle a commencé, Nous avons commencé, Vous avez commencé, Ils/elles ont commencé",Começar; iniciar; principiar; ...
Passé composé (avec être): commencer,"Je suis commencé, Tu es commencé, Il est commencé, Elle est commencée, Nous sommes commencés, Vous êtes commencés, Ils sont commencés, Elles sont commencées",Começar; iniciar; principiar; ...
Présent: tomber,"Je tombe, Tu tombes, Il/elle tombe, Nous tombons, Vous tombez, Ils/elles tombent",Cair; derrubar; ficar; ...
Futur: tomber,"Je tomberai, Tu tomberas, Il/elle tombera, Nous tomberons, Vous tomberez, Ils/elles tomberont",Cair; derrubar; ficar; ...
